SC;SI;eq
VI;60;6E-07x3 - 0,0004x2 + 0,0966x - 0,0909
V;70;1E-06x3 - 0,0006x2 + 0,1297x - 0,758
V;80;6E-07x3 - 0,0004x2 + 0,1309x - 0,4584
V;90;1E-06x3 - 0,0006x2 + 0,1611x - 0,9437
IV;100;1E-06x3 - 0,0008x2 + 0,1902x - 1,4511
IV;110;1E-06x3 - 0,0009x2 + 0,2159x - 1,8607
IV;120;2E-06x3 - 0,0009x2 + 0,238x - 2,2082
III;130;2E-06x3 - 0,001x2 + 0,2612x - 2,5681
III;140;2E-06x3 - 0,0011x2 + 0,2791x - 2,7919
III;150;2E-06x3 - 0,0013x2 + 0,3073x - 3,3162
II;160;3E-06x3 - 0,0014x2 + 0,3225x - 3,4965
II;170;3E-06x3 - 0,0015x2 + 0,3382x - 3,7613
II;180;3E-06x3 - 0,0015x2 + 0,3447x - 3,8245
