SC;SI;eq
VI;60;2E-05x4 - 0,0083x3 + 0,9223x2 + 25,884x - 155,72
V;70;2E-05x4 - 0,0096x3 + 1,0251x2 + 38,797x - 174,82
V;80;3E-05x4 - 0,0112x3 + 1,1484x2 + 54,554x - 430,55
V;90;3E-05x4 - 0,0127x3 + 1,2713x2 + 68,968x - 488,53
IV;100;4E-05x4 - 0,0145x3 + 1,4268x2 + 82,587x - 559,93
IV;110;0 -6E-07x5 + 0,0003x4 - 0,0685x3 + 5,209x2 + 6,8877x - 121,34
IV;120;5E-05x4 - 0,018x3 + 1,6503x2 + 116,01x - 708,83
III;130;5E-05x4 - 0,0194x3 + 1,7283x2 + 132,32x - 771,2
III;140;6E-05x4 - 0,0224x3 + 1,9681x2 + 144,9x - 829,01
III;150;6E-05x4 - 0,0209x3 + 1,7021x2 + 170,1x - 948,23
III;160;6E-05x4 - 0,0213x3 + 1,5859x2 + 194,16x - 1070
