SC;SI;
VI;60;-4E-06x3 + 0,0016x2 - 0,0631x
V;70;-8E-06x3 + 0,0028x2 - 0,0811x
V;80;-1E-05x3 + 0,0046x2 - 0,1401x
V;90;2E-08x4 - 1E-05x3 + 0,0015x2 + 0,5076x - 25,379
IV;100;1E-07x4 - 6E-05x3 + 0,0097x2 + 0,0796x - 15,29
IV;110;8E-08x4 - 4E-05x3 + 0,0032x2 + 0,8183x - 34,701
IV;120;2E-08x4 - 1E-06x3 - 0,0048x2 + 1,6724x - 57,24
III;130;2E-08x4 + 9E-06x3 - 0,0092x2 + 2,2749x - 73,968
III;140;8E-09x4 + 2E-05x3 - 0,0136x2 + 2,8422x - 87,591
III;150;-7E-08x4 + 7E-05x3 - 0,0222x2 + 3,5735x - 103,76
III;160;-1E-07x4 + 0,0001x3 - 0,0298x2 + 4,2971x - 120,77
