,0,1
0,2,51
1,3,50
2,3,55
3,3,60
4,4,5
5,4,6
6,4,48
7,5,4
8,5,54
9,6,4
10,6,47
11,6,56
12,7,57
13,7,58
14,8,60
15,8,66
16,8,68
17,10,13
18,12,63
19,12,73
20,13,10
21,13,16
22,14,17
23,14,19
24,14,21
25,14,22
26,14,24
27,15,17
28,15,18
29,15,23
30,15,75
31,16,13
32,16,20
33,16,76
34,17,14
35,17,15
36,17,19
37,17,23
38,17,64
39,18,15
40,18,73
41,18,75
42,19,14
43,19,17
44,19,22
45,19,23
46,20,16
47,20,76
48,21,14
49,22,14
50,22,19
51,22,23
52,22,24
53,23,15
54,23,17
55,23,19
56,23,22
57,23,26
58,23,27
59,23,75
60,24,14
61,24,22
62,25,77
63,25,78
64,26,23
65,26,27
66,27,23
67,27,26
68,27,28
69,27,32
70,27,75
71,28,27
72,28,31
73,28,32
74,28,33
75,29,31
76,29,76
77,31,28
78,31,29
79,31,33
80,31,35
81,31,37
82,31,76
83,32,27
84,32,28
85,32,33
86,32,38
87,33,28
88,33,31
89,33,32
90,33,35
91,33,38
92,33,82
93,34,91
94,35,31
95,35,33
96,35,37
97,35,82
98,36,37
99,36,76
100,36,78
101,36,79
102,37,31
103,37,35
104,37,36
105,37,76
106,37,79
107,37,82
108,38,32
109,38,33
110,39,80
111,39,83
112,40,79
113,40,84
114,40,86
115,42,88
116,45,47
117,45,49
118,46,47
119,46,48
120,47,6
121,47,45
122,47,46
123,47,48
124,48,4
125,48,46
126,48,47
127,49,45
128,49,51
129,49,56
130,50,3
131,50,55
132,51,2
133,51,49
134,53,54
135,54,5
136,54,53
137,55,3
138,55,50
139,55,60
140,56,6
141,56,49
142,56,63
143,57,7
144,57,58
145,58,7
146,58,57
147,58,59
148,58,64
149,59,58
150,59,64
151,60,3
152,60,8
153,60,55
154,60,65
155,60,66
156,60,68
157,62,65
158,62,67
159,62,72
160,63,12
161,63,56
162,63,64
163,64,17
164,64,58
165,64,59
166,64,63
167,65,60
168,65,62
169,65,67
170,65,68
171,66,8
172,66,60
173,67,62
174,67,65
175,68,8
176,68,60
177,68,65
178,70,71
179,70,72
180,71,70
181,71,96
182,72,62
183,72,70
184,73,12
185,73,18
186,73,75
187,74,91
188,75,15
189,75,18
190,75,23
191,75,27
192,75,73
193,76,16
194,76,20
195,76,29
196,76,31
197,76,36
198,76,37
199,76,77
200,76,78
201,77,25
202,77,76
203,77,78
204,78,25
205,78,36
206,78,76
207,78,77
208,78,79
209,79,36
210,79,37
211,79,40
212,79,78
213,79,81
214,79,82
215,79,84
216,79,86
217,80,39
218,80,83
219,80,98
220,81,79
221,81,84
222,81,86
223,82,33
224,82,35
225,82,37
226,82,79
227,83,39
228,83,80
229,84,40
230,84,79
231,84,81
232,84,86
233,85,87
234,86,40
235,86,79
236,86,81
237,86,84
238,86,88
239,87,85
240,88,42
241,88,86
242,89,90
243,90,89
244,90,100
245,91,34
246,91,74
247,92,93
248,92,94
249,93,92
250,94,92
251,96,71
252,96,98
253,97,99
254,98,80
255,98,96
256,98,99
257,99,97
258,99,98
259,100,90
